timestamp,id,nombre,zona,tipo,lat,lon,Cs137_Bq_m3,K40_Bq_L,Sr90_Bq_L,EDR_uSv_h,pH,Conductividad_uS,Turbidez_NTU,As_mg_kg,Hg_mg_kg,Pb_mg_kg,Cd_mg_kg,Zn_mg_kg,Cu_mg_kg,Bateria_pct,Voltaje_V,Estado_Bateria,Indice_Salud,Estado
2026-05-29 06:13,KAT-01,Nacimiento Katari,Río Katari,origen,-16.65,-68.45,1.334,122.54,0.1613,0.061,7.86,1222.1,17.53,41.63,3.45,36.36,0.62,100.66,39.16,33.0,3.6,🟡 BAJO,39.6,CRÍTICO
2026-05-29 05:01,KAT-02,El Alto — Zona Ind.,Río Katari,descarga,-16.58,-68.38,0.993,84.17,0.1037,0.294,7.63,2359.9,39.46,15.55,2.65,29.38,6.76,116.48,17.62,56.7,3.81,🟢 OK,56.3,PRECAUCIÓN
2026-05-29 03:49,KAT-03,Viacha — Minería,Río Katari,descarga,-16.65,-68.3,2.855,77.32,0.1903,0.428,6.53,1497.0,111.96,54.88,2.74,12.45,9.84,70.83,13.06,53.1,3.78,🟢 OK,30.3,CRÍTICO
2026-05-29 02:37,KAT-04,Toma Riego Norte,Río Katari,riego,-16.52,-68.38,0.231,120.47,0.0648,0.193,8.05,1483.7,46.21,13.01,5.31,39.38,9.5,93.56,29.31,87.4,4.09,🟢 OK,54.9,PRECAUCIÓN
2026-05-29 01:25,KAT-05,Confluencia Pallina,Río Katari,confluencia,-16.54,-68.52,0.407,84.8,0.0212,0.269,7.01,1613.0,26.62,20.23,1.84,28.92,1.78,84.81,7.33,90.9,4.12,🟢 OK,68.8,PRECAUCIÓN
2026-05-29 00:13,KAT-06,Toma Riego Central,Río Katari,riego,-16.51,-68.55,2.622,84.94,0.0131,0.253,8.53,2147.5,62.66,8.36,2.23,9.71,8.76,67.9,18.1,10.4,3.39,🔴 CRÍTICO,54.3,PRECAUCIÓN
2026-05-28 23:01,KAT-07,Descarga Media,Río Katari,descarga,-16.5,-68.62,1.579,91.26,0.2252,0.108,7.98,3430.7,59.41,49.29,5.96,41.66,11.01,77.93,36.62,39.3,3.65,🟡 BAJO,26.1,CRÍTICO
2026-05-28 21:49,KAT-08,Zona Sedimentación,Río Katari,monitoreo,-16.495,-68.64,0.202,80.39,0.0184,0.29,7.97,1488.1,45.3,15.72,2.49,38.5,2.63,16.27,16.37,14.7,3.43,🔴 CRÍTICO,64.6,PRECAUCIÓN
2026-05-28 20:37,KAT-09,Toma Riego Sur,Río Katari,riego,-16.49,-68.65,3.132,115.41,0.1412,0.286,8.7,2310.2,19.94,27.9,4.49,44.82,3.49,19.4,13.77,35.3,3.62,🟡 BAJO,24.7,CRÍTICO
2026-05-28 19:25,KAT-10,Tramo Bajo Katari,Río Katari,monitoreo,-16.48,-68.68,2.77,118.04,0.0134,0.077,7.58,1661.3,22.74,19.43,5.17,19.04,5.43,75.44,19.47,79.6,4.02,🟢 OK,47.3,PRECAUCIÓN
2026-05-28 18:13,KAT-11,Toma Riego Final,Río Katari,riego,-16.47,-68.72,3.238,87.59,0.1134,0.21,6.93,1438.5,8.15,26.36,0.68,17.04,9.19,31.64,10.29,36.6,3.63,🟡 BAJO,52.3,PRECAUCIÓN
2026-05-28 17:01,KAT-12,Descarga Pre-Cohana,Río Katari,descarga,-16.46,-68.75,4.639,87.1,0.2088,0.202,8.36,1902.9,87.64,44.53,5.06,40.05,1.81,123.11,24.74,8.9,3.38,🔴 CRÍTICO,17.0,CRÍTICO
2026-05-28 15:49,COH-01,Cohana — Entrada,Bahía Cohana,bahia,-16.32,-68.78,0.378,104.54,0.2253,0.329,6.05,2730.5,34.63,18.86,5.85,32.85,14.2,32.99,27.79,5.0,3.34,🔴 CRÍTICO,42.5,PRECAUCIÓN
2026-05-28 14:37,COH-02,Cohana — Centro,Bahía Cohana,bahia,-16.35,-68.82,4.674,118.87,0.0969,0.282,8.05,3499.4,73.46,23.11,1.33,67.31,13.68,103.24,27.66,18.7,3.47,🔴 CRÍTICO,38.3,CRÍTICO
2026-05-28 13:25,COH-03,Cohana — Sur,Bahía Cohana,bahia,-16.38,-68.85,3.708,119.86,0.2894,0.133,8.42,3057.9,17.81,64.48,5.21,7.37,2.1,107.55,6.62,5.0,3.34,🔴 CRÍTICO,29.6,CRÍTICO
2026-05-28 12:13,MIN-01,Zona Minera El Alto,Zona Minera,mina,-16.6,-68.35,3.796,109.59,0.2175,0.266,6.7,3594.1,47.87,73.21,7.39,85.43,13.55,125.41,16.27,16.3,3.45,🔴 CRÍTICO,15.0,CRÍTICO
2026-05-28 11:01,MIN-02,Vertedero Viacha,Zona Minera,mina,-16.67,-68.29,1.959,87.2,0.3157,0.519,7.22,4097.7,109.9,52.72,6.66,53.33,4.61,154.54,31.98,5.0,3.34,🔴 CRÍTICO,21.9,CRÍTICO
2026-05-28 09:49,KAT-01,Nacimiento Katari,Río Katari,origen,-16.65,-68.45,2.211,83.86,0.2039,0.049,8.96,2497.0,34.4,44.24,2.58,48.0,9.73,89.61,16.57,47.7,3.73,🟢 OK,23.7,CRÍTICO
2026-05-28 08:37,KAT-02,El Alto — Zona Ind.,Río Katari,descarga,-16.58,-68.38,4.029,90.85,0.0652,0.278,7.73,3545.8,84.09,13.06,4.93,68.67,2.48,81.18,57.47,76.0,3.98,🟢 OK,34.5,CRÍTICO
2026-05-28 07:25,KAT-03,Viacha — Minería,Río Katari,descarga,-16.65,-68.3,3.33,110.12,0.1195,0.391,6.91,3247.6,96.67,61.05,4.2,37.9,11.38,98.59,47.16,78.6,4.01,🟢 OK,21.9,CRÍTICO
2026-05-28 06:13,KAT-04,Toma Riego Norte,Río Katari,riego,-16.52,-68.38,3.004,91.9,0.0886,0.171,6.29,1931.5,8.08,28.04,1.86,31.09,0.71,12.53,38.75,39.6,3.66,🟡 BAJO,41.4,PRECAUCIÓN
2026-05-28 05:01,KAT-05,Confluencia Pallina,Río Katari,confluencia,-16.54,-68.52,0.532,101.11,0.1691,0.059,6.67,2006.5,11.97,27.57,3.14,33.18,7.43,101.22,25.88,34.5,3.61,🟡 BAJO,54.3,PRECAUCIÓN
